"sku","name","weight","manufacturer","clothing_size","material","color","price","qty","category_ids","status","visibility","is_in_stock","tax_class_id","description","short_description","attribute_set","websites","type","store","special_price","special_to_date","special_from_date"
"S54DL0255311012R1000","Underwear SH007",0,"Seahorse Underwear Shop","S","Polyester","Xám bạc",62000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Độc đáo trong sự phối màu cùng những hình in thú vị. Thời trang không chỉ là những chiếc quần jean, sơ mi hay áo pull mà còn thời trang ngay trong cách lựa chọn underwear của bạn. Thật sexy và ấn tượng với phong cách Seahorse underwear.","Độc đáo và thời trang","Do Lot","base","simple","admin",,,
"S54DL0255311012R1001","Underwear S3C007",0,"Seahorse Underwear Shop","S","Cotton","Sọc",75000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Một phong cách underwear hoàn toàn mới dành cho nam giới","Phong cách hoàn toàn mới","Do Lot","base","simple","admin",,,
"S54DL0255311012R1002","Underwear SH017",0,"Seahorse Underwear Shop","XL","Cotton","Nâu",57000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Sản phẩm bikini truyền thống kết hợp với chất liệu 100% cotton, vừa thấm hút mồ hôi tạo sự dễ chịu và thoải mái. Trông thật ấn tượng và sexy!","Ấn tượng và sexy","Do Lot","base","simple","admin",,,
"S54DL0255311012R1003","Underwear Boxer LX001",0,"Seahorse Underwear Shop","S","Cotton","Như Hình",165000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Lấy ý tưởng từ những hình in ngôi sao độc đáo và tên thương hiệu “Seahorse” dựa trên chất liệu lưng bản to độc đáo và phá cách, sự phối màu cùng những đường viền màu cá tính đã tạo nên một dòng sản phẩm mới đa dạng về màu sắc và kiểu dáng. Nam giới có thể","Đột phá cá tính","Do Lot","base","simple","admin",,,
"S54DL0255311012R1004","Underwear Boxer SF009",0,"Seahorse Underwear Shop","S","Cotton","Đen",79000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Hãy để phong cách táo bạo và mới mẻ của sọc caro của Seahorse Fresh xóa đi nét đơn điệu trong những bộ trang phục công sở, đến trường hay chơi thể thao của bạn trong những ngày chớm hè 2011. Hãy cùng nhãn hàng Seahorse Underwear để tạo cho mình vẻ năng độ","Năng động và khỏe khoắn","Do Lot","base","simple","admin",,,
"S54DL0255311012R1005","Underwear Boxer SF010",0,"Seahorse Underwear Shop","S","Cotton","Xanh da trời",79000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Nhằm tạo vẻ trẻ trung và tươi mới cho những bạn nam muốn thử sức mình với những gam màu mới lạ","Trẻ trung, tươi mới","Do Lot","base","simple","admin",,,
"S54DL0255311012R1006","Underwear LX003",0,"Seahorse Underwear Shop","S","Cotton","Như Hình",155000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Chất liệu lưng bản to độc đáo và phá cách, sự phối màu cùng những đường viền màu cá tính đã tạo nên một dòng sản phẩm mới đa dạng về màu sắc và kiểu dáng","Phá cách","Do Lot","base","simple","admin",,,
"S54DL0255311012R1007","Swimwear SW001",0,"Seahorse Underwear Shop","S","Polyester","Đen",90000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Đồ bơi với kiểu dáng và mẫu mã vô cùng phong phú, rất gợi cảm những vẫn tôn lên vẻ nam tính mạnh mẽ, sản phẩm đồ bơi của Seahorse Underwear  mang lại những xúc cảm thật đặc biệt, vừa e ấp lại vừa gợi mở, càng khiến cho những tín đồ thời trang phát sốt với","Gợi cảm và cá tính","Do Lot","base","simple","admin",,,
"S54DL0255311012R1008","Swimwear SW002",0,"Seahorse Underwear Shop","S","Polyester","Như Hình",90000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Đồ bơi với kiểu dáng và mẫu mã vô cùng phong phú, rất gợi cảm những vẫn tôn lên vẻ nam tính mạnh mẽ, sản phẩm đồ bơi của Seahorse Underwear  mang lại những xúc cảm thật đặc biệt, vừa e ấp lại vừa gợi mở, càng khiến cho những tín đồ thời trang phát sốt với","Mạnh mẽ cá tính","Do Lot","base","simple","admin",,,
"S54DL0255311012R1009","Swimwear SW003",0,"Seahorse Underwear Shop","S","Polyester","Như Hình",78000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Đồ bơi với kiểu dáng và mẫu mã vô cùng phong phú, rất gợi cảm những vẫn tôn lên vẻ nam tính mạnh mẽ, sản phẩm đồ bơi của Seahorse Underwear  mang lại những xúc cảm thật đặc biệt, vừa e ấp lại vừa gợi mở, càng khiến cho những tín đồ thời trang phát sốt với","Thân thiện và sang trọng","Do Lot","base","simple","admin",,,
"S54DL0255311012R1010","Swimwear SW004",0,"Seahorse Underwear Shop","S","Polyester","Như Hình",78000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Đồ bơi với kiểu dáng và mẫu mã vô cùng phong phú, rất gợi cảm những vẫn tôn lên vẻ nam tính mạnh mẽ, sản phẩm đồ bơi của Seahorse Underwear  mang lại những xúc cảm thật đặc biệt, vừa e ấp lại vừa gợi mở, càng khiến cho những tín đồ thời trang phát sốt với","Tôn lên vẻ nam tính","Do Lot","base","simple","admin",,,
"S54DL0255311012R1011","Swimwear SW005",0,"Seahorse Underwear Shop","S","Polyester","Như Hình",78000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Đồ bơi với kiểu dáng và mẫu mã vô cùng phong phú, rất gợi cảm những vẫn tôn lên vẻ nam tính mạnh mẽ, sản phẩm đồ bơi của Seahorse Underwear  mang lại những xúc cảm thật đặc biệt, vừa e ấp lại vừa gợi mở, càng khiến cho những tín đồ thời trang phát sốt với","E ấp mà gợi mở","Do Lot","base","simple","admin",,,
"S54DL0255311012R1012","Underwear SH011",0,"Seahorse Underwear Shop","S","Polyester","Xanh dương",43000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Độc đáo trong sự phối màu cùng những hình in thú vị. Thời trang không chỉ là những chiếc quần jean, sơ mi hay áo pull mà còn thời trang ngay trong cách lựa chọn underwear của bạn. Thật sexy và ấn tượng với phong cách Seahorse underwear.","Bí quyết  của bạn","Do Lot","base","simple","admin",,,
"S54DL0255311012R1013","Underwear SF003",0,"Seahorse Underwear Shop","S","Polyester","Như Hình",58000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Chính những đường viền phối cách điệu cùng những hình vẽ trang trí tinh tế trong từng sản phẩm sẽ mang đến cho nam giới cảm giác thật thoải mái, tự tin khi sử dụng sản phẩm.","Tự tin và cá tính","Do Lot","base","simple","admin",,,
"S54DL0255311012R1014","Underwear 3D-LX004",0,"Seahorse Underwear Shop","M","Cotton","Trắng",195000,1,"3,37,71","Hiệu lực","Catalog, Search","1","None","Với hai màu trắng, đen chủ đạo cùng với chất liệu vãi co giãn và thấm hút tối đa. Quý khách sẽ có một trải nghiệm hoàn toàn mới, mà vẫn giữ được sự sang trọng và thoải mái trong từng cử động. ","Tinh tế và sang trọng cùng trắng và đen","Do Lot","base","simple","admin",,,
"S55DL0257311012R1000","Áo lót A002",0,"Pink Cherry Shop","FREE",,"Hồng phấn",40000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Sự nhẹ nhàng của màu hồng phấn khiến bạn trở nên yêu kiều, xinh xắn và đầy nữ tính. Thêm vào đó, kiểu áo push tôn lên vẻ đẹp của cơ thể càng làm cho bạn nổi bật và duyên dáng.","Xinh xắn và đầy nữ tính","Do Lot","base","simple","admin",,,
"S55DL0257311012R1001","Áo lót A001",0,"Pink Cherry Shop","FREE",,"Nâu",50000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Sự kết hợp màu sắc và họa tiết chính là điểm nhấn của sản phẩm. Không đơn điệu, không quá cầu kỳ, ""bộ cánh"" nâu này đủ để làm bạn cảm thấy thoải mái và tự tin.","Thoải mái và tự tin","Do Lot","base","simple","admin",,,
"S55DL0257311012R1002","Quần lót B228",0,"Pink Cherry Shop","FREE","Thun ren","Xanh coban",40000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Chất liệu thun ren với thiết kế độc đáo, cho bạn một phong cách hoàn toàn mới. Bạn sẽ cảm nhận được sự thoải mái, dễ chịu khi dùng sản phẩm.","Dễ chịu và thoải mái","Do Lot","base","simple","admin",,,
"S55DL0257311012R1003","Quần lót B237",0,"Pink Cherry Shop","FREE","Thun mịn","Như Hình",20000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Chất liệu thun co giãn theo từng cử động của cơ thể tạo cho bạn một phong thái an toàn và tự tin hơn. Đặc biệt, đường viền da beo điểm xuyến bởi một chiếc nơ xinh xắn đem đến một nét cá tính riêng cho bạn.","Tự tin khoe cá tính","Do Lot","base","simple","admin",,,
"S55DL0257311012R1004","Quần lót B227",0,"Pink Cherry Shop","FREE","Thun mịn","Như Hình",50000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Màu sắc nhã nhặn cùng với họa tiết xinh xắn làm cho bạn trẻ trung, vui tươi và nhí nhảnh.","Trẻ trung, tươi mới","Do Lot","base","simple","admin",,,
"S55DL0257311012R1005","Quần lót B236",0,"Pink Cherry Shop","FREE","Thun mịn","Như Hình",120000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Bộ 7 ngày không chỉ đem đến cho bạn sự thoải mái vốn có mà còn đem đến một sự năng động, trẻ trung và tươi vui.","Nhí nhảnh, trẻ trung","Do Lot","base","simple","admin",,,
"S55DL0257311012R1006","Đồ lót bộ B201",0,"Pink Cherry Shop","32","Thun mịn","Sọc",160000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Chất liệu thun ôm sát cơ thể, khéo léo tôn lên vẻ đẹp của bạn. Sọc trắng xám với đường viền đỏ như một điểm nhấn đem đến cho bạn một phong thái tự tin và đầy cá tính.","Tươi mới và nổi bật","Do Lot","base","simple","admin",,,
"S55DL0257311012R1007","Đồ lót bộ B202",0,"Pink Cherry Shop","32","Thun mịn","Chấm bi",150000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Sản phẩm là một sự kết hợp độc đáo về màu sắc và họa tiết. Trông bạn sẽ vẫn nữ tính, duyên dáng nhưng cũng đầy sự sáng tạo và tươi mới.","Nâng ngực, cài sau","Do Lot","base","simple","admin",,,
"S55DL0257311012R1008","Đồ lót bộ B203",0,"Pink Cherry Shop","32","Thun cotton","Hồng phấn",160000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Bồ đồ lót được làm từ thun cotton vừa ôm cơ thể vừa tôn lên nét duyên dáng của bạn. ","Mút mỏng, cài sau","Do Lot","base","simple","admin",,,
"S55DL0257311012R1009","Đồ lót bộ B204",0,"Pink Cherry Shop","32","Thun mịn","Sọc",170000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Màu sắc tươi tắn, nổi bật là điểm nổi bật của sản phẩm. Trông bạn sẽ thật tươi trẻ và đầy sức sống!","Mút rời, cài sau","Do Lot","base","simple","admin",,,
"S55DL0257311012R1010","Đồ lót bộ B205",0,"Pink Cherry Shop","32","Thun cotton","Vàng",160000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Họa tiết chấm bi quen thuộc được điểm xuyến với một viền xám lại tạo ra một sự phá cách hoàn toàn mới lạ nhưng cũng vô cùng nữ tính","Mút rời, cài sau","Do Lot","base","simple","admin",,,
"S55DL0257311012R1011","Đồ lót bộ B206",0,"Pink Cherry Shop","32","Thun cotton","Đỏ",160000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Sự kết hợp hai màu trắng đỏ làm bạn thật tươi sáng và năng động. Kiểu áo push với nút cài trước càng làm cho bạn trở nên hấp dẫn và đầy sức hút.","Mút rời, cài trước","Do Lot","base","simple","admin",,,
"S55DL0257311012R1012","Đồ lót bộ B207",0,"Pink Cherry Shop","32","Thun mịn giả jean","Xanh lam",160000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Chất liệu thun mịn cho bạn sự thoải mái, dễ chịu khi hoạt động. Với kiểu giả jean lại càng làm cho bạn thêm năng động và trẻ trung hơn.","Mút rời, cài sau","Do Lot","base","simple","admin",,,
"S55DL0257311012R1013","Đồ lót bộ B212",0,"Pink Cherry Shop","32","Thun mịn","Xanh lam",140000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Dựa trên ý tưởng của những người lính biển, màu sắc và họa tiết của sản phẩm đem đến cho bạn một phong cách trẻ trung, độc đáo và đáng yêu.","Cài sau","Do Lot","base","simple","admin",,,
"S55DL0257311012R1014","Đồ lót bộ B216",0,"Pink Cherry Shop","32","Thun cotton","Như Hình",160000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Màu sắc và họa tiết của sản phẩm là một sự phá cách của người thiết kế. Bạn trông sẽ cực kỳ tươi mới, đáng yêu và xinh xắn.`","Mút rời, cài trước","Do Lot","base","simple","admin",,,
"S51DL0300311012R1000","Đồ lót bánh ngọt",0,"Nữ Hoàng Đồ Lót","FREE","Thun","Như Hình",225000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Với những hoạ tiết chấm bi và viền bằng ren thun trắng trên phần cúp ngực, điểm thêm nét duyên dáng là chiếc nơ chính giữa áo và cả quần nữa. đồ lót có 3 màu cho bạn tha hồ lựa chọn.","Xinh xắn và đáng yêu","Do Lot","base","simple","admin",157500,,
"S51DL0300311012R1001","Đồ lót hoa mùa xuân",0,"Nữ Hoàng Đồ Lót","FREE","Voan","Như Hình",199000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Làm từ vải voan mỏng có hoạ tiết hoa rực rỡ cuả muà xuân, bạn sẽ cảm thâý như đang mặc lên người một vườn hoa vậy. Thêm vào đó là những đường viền bằng ren trắng thanh thoát và lớp đệm êm bên trong, vòng một của bạn sẽ hấp dẫn hơn.﻿","Tươi tắn và đầy sức sống","Do Lot","base","simple","admin",119400,,
"S51DL0300311012R1002","Đồ lót pricess",0,"Nữ Hoàng Đồ Lót","FREE","Cotton","Như Hình",299000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Với chất liệu từ coton thoáng mát và thiết kế hình chiếc vương miện cuả công chúa trên phần áo, và hoạ tiết caro đặc trưng trên phần quần. bạn sẽ trông thật xinh xắn và quyễn rủ,đây là sản phẩm được thiết kế rất ấn tượng và trẻ trung, có 2 màu hồng và tím","Xinh xắn và đáng yêu","Do Lot","base","simple","admin",239200,,
"S51DL0300311012R1003","Đồ lót lọ lem",0,"Nữ Hoàng Đồ Lót","FREE","Phi bóng và ren","Như Hình",279000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Đồ lót lọ lem với kiểu dáng xinh xắn và gợi cảm cuả hoạ tiết chấm bi đen trên nền hồng và điểm xuyến với lớp ren đen hai bên cúp ngực và chiếc khuyên tròn maù vàng bằng kim loại sang trọng. Thêm vào đó la lớp đệm êm giúp vòng một trở nên đầy đặn hơn. Đồ l","Yêu kiều như nàng công chúa lọ lem","Do Lot","base","simple","admin",167400,,
"S51DL0300311012R1004","Đồ lót mặt cười",0,"Nữ Hoàng Đồ Lót","FREE","Vải và ren","Như Hình",299000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Đồ lót được làm từ vải thoáng mát và thiêt kế tinh xảo﻿, Màu xanh dương nồng nàn kết hợp với nét duyên của viền ren, laị được phá cách đi bởi  những họa tiết mặt cười sẽ đem đến cho bạn sự hấp dẫn và duyên dáng.﻿","Quyến rũ và nữ tính","Do Lot","base","simple","admin",239200,,
"S51DL0300311012R1005","Đồ lót sao đêm huyền bí",0,"Nữ Hoàng Đồ Lót","FREE","Thun","Chấm bi",249000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Đồ lót được làm bằng chất liệu thoáng mát và có đệm êm bên trong làm tăng sự đầy đặn của vòng một. Những họa tiết chấm bi trên nền xanh dương đậm thật bắt mắt cùng với chiếc nơ riobbon hồng nổi bật, điểm xuyến là những đường ren thun đầy gợi cảm.","Gợi cảm và huyền bí","Do Lot","base","simple","admin",199200,,
"S51DL0300311012R1006","Đồ lót miền đồng thảo",0,"Nữ Hoàng Đồ Lót","FREE","Cotton","Như Hình",279000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Đồ lót làm từ chất liệu coton thoáng mát.Với họa tiết những bông hoa li ti đến từ miền đồng thảo, điểm xuyến vào đó là chiếc nút được thiết kế bằng gỗ cho phù hợp với hoạ tiết và lớp bèo nhún trên dây áo, các bạn nữ sẽ trông xinh xắn và gợi cảm hơn. Áo có","Dễ thương và đầy quyến rũ","Do Lot","base","simple","admin",223200,,
"S51DL0300311012R1007","Bộ đồ ngủ đen cánh tiên",0,"Nữ Hoàng Đồ Lót","FREE",,"Đen",399000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Quyến rũ và sexy từ màu đen và vải ren voan","Sexy và huyền bí","Do Lot","base","simple","admin",,,
"S51DL0300311012R1008","Đầm ngủ trắng mong manh",0,"Nữ Hoàng Đồ Lót","FREE",,"Trắng",349000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Màu trắng tinh khôi cho bạn một vẻ nữ tính không thể cưỡng lại","Trắng trong, tinh tế","Do Lot","base","simple","admin",,,
"S51DL0300311012R1009","Đầm ngủ hoa xinh xắn",0,"Nữ Hoàng Đồ Lót","FREE",,"Như Hình",399000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Phong cách tươi trẻ, nữ tính","Nữ tính và đáng yêu","Do Lot","base","simple","admin",,,
"S51DL0300311012R1010","Đồ lót thủy thủ",0,"Nữ Hoàng Đồ Lót","FREE","Thun","Sọc",279000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Với hai màu chủ đạo là xanh dương (đen) và trắng, cộng với chiếc nơ màu đỏ rực rỡ.  Đồ lót được làm bằng vải thun lạnh, độ co giãn tốt, có thể sử dụng làm trang phục khi đi bơi","Năng động, cá tính và thật nổi bật","Do Lot","base","simple","admin",223200,,
"S51DL0300311012R1011","Đồ lót cầu vồng",0,"Nữ Hoàng Đồ Lót","FREE","Thun","Như Hình",179000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Đồ lót cầu vòng với thiết kế thật bắt mắt bởi màu sắc sặc sỡ cùng với chất liệu thun lạnh mát nhẹ. điểm thêm là những hạt đá lấp lánh. bạn sẽ trông thật nổi bật và năng động. Chiếc quần đồ lót cuả bộ đồ lót này cũng thật ấn tượng với thiết kế dây chéo đín","Tự tin và năng động","Do Lot","base","simple","admin",107400,,
"S51DL0300311012R1012","Đồ lót playboy",0,"Nữ Hoàng Đồ Lót","FREE",,"Hồng phấn",169000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Với những viền sọc làm cho bạn thật cá tính, tươi trẻ và vô cùng hấp dẫn","Cá tính và nổi bật","Do Lot","base","simple","admin",84500,,
"S51DL0300311012R1013","Đồ lót sunset",0,"Nữ Hoàng Đồ Lót","FREE","Cotton","Như Hình",299000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Đồ lót có màu sắc chói chang, điểm thêm cho phần duyên dáng bởi chiếc nút hình trái tim xinh xắn cùng với chất liệu coton thật thoáng mát, chắc hẳn bạn sẽ thật nóng bỏng va hấp dẫn nhưng không kém phần duyên dáng khi mặc bộ đồ lót này﻿","Nóng bỏng và rực rỡ","Do Lot","base","simple","admin",239200,,
"S51DL0300311012R1014","Đồ lót sọc beo",0,"Nữ Hoàng Đồ Lót","FREE","Thun","Như Hình",169000,1,"3,36,64","Hiệu lực","Catalog, Search","1","None","Đồ lót được làm từ thun lạnh có khả năng co giản rất tốt, cùng với đường viền sọc beo cá tính, hơn nữa là dây buộc trên cổ thời trang. Đồ lót có 2 màu nổi bật hồng và đen để chị chọn lựa. ","Cá tính và hấp dẫn","Do Lot","base","simple","admin",135200,,
