"sku","name","weight","manufacturer","clothing_size","material","color","skirt_type","category_ids","status","price","qty","visibility","tax_class_id","description","short_description","attribute_set","websites","store","type","is_in_stock","special_price","special_from_date","special_to_date"
"S43VAY1421311012R1000","Váy xòe Valerie Paris",0,"Yameshop","FREE","Cotton","Đen","Váy xòe","3,36,63","Hiệu lực",298000,10,"Catalog, Search","None"," - Váy Valerie thời trang, năng động, có thể kết hợp
 với sơ mi, áo voan, hay thun tùy theo từng hoàn cảnh sẽ giúp bạn vừa năng động vừa trẻ trung và tự tin trong những ngày thu.","None","Vay","base","admin","simple",1,,,
"S43VAY1421311012R1001","Váy voan dài 1",0,"Yameshop","FREE","Voan","Xanh ngọc","Váy maxi","3,36,63","Hiệu lực",150000,10,"Catalog, Search","None"," - Váy voan form dài giúp bạn gái thêm nữ tính,  nhẹ nhàng khi xuống phố và cuốn hút mọi ánh nhìn. 
 - Áo sơ mi voan là sự kết hợp hoàn hảo với những chiếc váy loại này.","None","Vay","base","admin","simple",1,,,
"S43VAY1421311012R1002","Váy voan dài 2",0,"Yameshop","FREE","Voan","Hồng","Váy maxi","3,36,63","Hiệu lực",150000,10,"Catalog, Search","None"," - Váy voan form dài giúp bạn gái thêm nữ tính,  nhẹ nhàng khi xuống phố và cuốn hút mọi ánh nhìn. 
 - Áo sơ mi voan là sự kết hợp hoàn hảo với những chiếc váy loại này.","None","Vay","base","admin","simple",1,,,
"S43VAY1421311012R1003","Váy voan ngắn 1",0,"Yameshop","FREE","Voan","Xanh da trời","Váy xếp li","3,36,63","Hiệu lực",220000,10,"Catalog, Search","None"," - Váy voan form ngắn giúp bạn gái thêm nữ tính,  nhẹ nhàng khi xuống phố và cuốn hút mọi ánh nhìn. 
 - Áo sơ mi voan là sự kết hợp hoàn hảo với những chiếc váy loại này.","None","Vay","base","admin","simple",1,,,
"S43VAY1421311012R1004","Váy voan ngắn 2",0,"Yameshop","FREE","Voan","Nâu","Váy xếp li","3,36,63","Hiệu lực",220000,10,"Catalog, Search","None"," - Váy voan form ngắn giúp bạn gái thêm nữ tính,  nhẹ nhàng khi xuống phố và cuốn hút mọi ánh nhìn. 
 - Áo sơ mi voan là sự kết hợp hoàn hảo với những chiếc váy loại này.","None","Vay","base","admin","simple",1,,,
"S43VAY1421311012R1005","Váy ngắn 1",0,"Yameshop","FREE","kate","Vàng","Váy xòe","3,36,63","Hiệu lực",150000,10,"Catalog, Search","None"," - Váy kaki form ngắn giúp bạn gái thêm nữ tính,  nhẹ nhàng khi xuống phố và cuốn hút mọi ánh nhìn. 
 - Áo sơ mi voan, thun hay ba lỗ + cardigan là sự kết hợp hoàn hảo với những chiếc váy loại này.","None","Vay","base","admin","simple",1,,,
"S43VAY1421311012R1006","Váy ngắn 2",0,"Yameshop","FREE","kate","Xanh da trời","Váy xòe","3,36,63","Hiệu lực",150000,10,"Catalog, Search","None"," - Váy kaki form ngắn giúp bạn gái thêm nữ tính,  nhẹ nhàng khi xuống phố và cuốn hút mọi ánh nhìn. 
 - Áo sơ mi voan, thun hay ba lỗ + cardigan là sự kết hợp hoàn hảo với những chiếc váy loại này.","None","Vay","base","admin","simple",1,,,
"S43VAY1421311012R1007","Váy ngắn 3",0,"Yameshop","FREE","kate","Hồng","Váy xòe","3,36,63","Hiệu lực",150000,10,"Catalog, Search","None"," - Váy kaki form ngắn giúp bạn gái thêm nữ tính,  nhẹ nhàng khi xuống phố và cuốn hút mọi ánh nhìn. 
 - Áo sơ mi voan, thun hay ba lỗ + cardigan là sự kết hợp hoàn hảo với những chiếc váy loại này.","None","Vay","base","admin","simple",1,,,
"S43VAY1421311012R1008","Váy ngắn 4",0,"Yameshop","FREE","kate","Xanh ngọc","Váy xòe","3,36,63","Hiệu lực",150000,10,"Catalog, Search","None"," - Váy kaki form ngắn giúp bạn gái thêm nữ tính,  nhẹ nhàng khi xuống phố và cuốn hút mọi ánh nhìn. 
 - Áo sơ mi voan, thun hay ba lỗ + cardigan là sự kết hợp hoàn hảo với những chiếc váy loại này.","None","Vay","base","admin","simple",1,,,
"S56VAY1422311012R1000","Váy maxi ngắn",0,"Hahashop","FREE","Cotton","Hồng","Váy maxi","3,36,63","Hiệu lực",135000,3,"Catalog, Search","None"," - Maxi ngắn trẻ trung, nhẹ nhàng. 
- Rất thích hợp cho các bạn nữ trong các dịp dạo biển, dạo phố, tăng thêm vẻ nữ tính, đáng yêu cho các bạn gái.","None","Vay","base","admin","simple",1,,,
"S56VAY1422311012R1001","Váy maxi hoa dài dưới gối",0,"Hahashop","FREE","Cotton","Xanh da trời","Váy maxi","3,36,63","Hiệu lực",250000,3,"Catalog, Search","None"," - Đầm maxi xanh họa tiết trẻ trung, dễ dàng cách điệu thành váy  thích hợp làm trang phục dạo phố, dạo biển.
- Trang phục thích hợp với mọi vọc dáng khác nhau, giúp bạn gái khoe nét nữ tính, dịu dàng.
","None","Vay","base","admin","simple",1,,,
"S56VAY1422311012R1002","Váy maxi hoa dài dưới gối",0,"Hahashop","FREE","Cotton","Tím","Váy maxi","3,36,63","Hiệu lực",250000,3,"Catalog, Search","None"," - Đầm maxi tím họa tiết trẻ trung, dễ dàng cách điệu thành váy  thích hợp làm trang phục dạo phố, dạo biển.
- Trang phục thích hợp với mọi vọc dáng khác nhau, giúp bạn gái khoe nét nữ tính, dịu dàng.
","None","Vay","base","admin","simple",1,,,
"S56VAY1422311012R1003","Váy maxi hoa dài dưới gối",0,"Hahashop","FREE","Cotton","Vàng","Váy maxi","3,36,63","Hiệu lực",250000,3,"Catalog, Search","None"," - Đầm maxi vàng họa tiết hoa trẻ trung, dễ dàng cách điệu thành váy  thích hợp làm trang phục dạo phố, dạo biển.
- Trang phục thích hợp với mọi vọc dáng khác nhau, giúp bạn gái khoe nét nữ tính, dịu dàng.
","None","Vay","base","admin","simple",1,,,
"S56VAY1422311012R1004","Váy maxi lửng xòe",0,"Hahashop","FREE","Cotton","Như Hình","Váy maxi","3,36,63","Hiệu lực",230000,3,"Catalog, Search","None"," - Váy maxi lửng, xòe, phối nhiều màu duyên dáng giúp bạn gái thêm nữ tính, đáng yêu.
- Kiểu dáng váy thích hợp với nhiều vóc dáng khác nhau  để dạo phố, có thể kết hợp thêm các loại áo khoác cardigan ở ngoài.","None","Vay","base","admin","simple",1,,,
"S56VAY1422311012R1005","Váy voan dài",0,"Hahashop","FREE","Cotton","Đỏ","Váy maxi","3,36,63","Hiệu lực",250000,3,"Catalog, Search","None"," - Váy dài thướt tha dễ kết hợp  các kiểu áo khác nhau thích hợp cho các bạn gái theo đuổi phong cách nữ tính.
 - Kiểu dáng váy thích hợp để dạo phố hoặc dự tiệc","None","Vay","base","admin","simple",1,,,
"S56VAY1422311012R1006","Váy dài chấm bi",0,"Hahashop","FREE","Voan","Hồng","Váy maxi","3,36,63","Hiệu lực",220000,3,"Catalog, Search","None"," - Váy chấm bi dài dưới gối thướt tha dễ dàng kết hợp với các loại áo voan giúp bạn gái khoe vẻ nữ tính, dịu dàng.
- Váy thích hợp để diện trong các buổi dạo 
phố và phù hợp với nhiều vóc dáng khác nhau","None","Vay","base","admin","simple",1,,,
